Seed,1573014693.2800176
Action,C|C,D|C,C|D,D|D
0.0,0.1,0.9,0.15,0.85
1.0,0.33,0.67,0.0,1.0

0.0,0.0,1.0,0.44,0.56
1.0,0.04,0.96,0.03,0.97

0.0,0.0,1.0,0.31,0.69
1.0,0.08,0.92,0.0,1.0

0.0,0.16,0.84,0.14,0.86
1.0,0.35,0.65,0.0,1.0

0.0,0.0,1.0,0.44,0.56
1.0,0.12,0.88,0.0,1.0

0.0,0.06,0.94,0.12,0.88
1.0,0.37,0.63,0.0,1.0

0.0,0.0,1.0,0.5,0.5
1.0,0.12,0.88,0.09,0.91

0.0,0.0,1.0,0.37,0.63
1.0,0.11,0.89,0.0,1.0

0.0,0.23,0.77,0.07,0.93
1.0,0.35,0.65,0.03,0.97

0.0,0.0,1.0,0.49,0.51
1.0,0.12,0.88,0.05,0.95

