Seed,1573017250.9479063
Action,C|C,D|C,C|D,D|D
0.0,1.0,0.0,0.03,0.97
1.0,0.46,0.54,0.42,0.58

0.0,1.0,0.0,0.06,0.94
1.0,0.46,0.54,0.39,0.61

0.0,1.0,0.0,0.0,1.0
1.0,0.61,0.39,0.16,0.84

0.0,1.0,0.0,0.07,0.93
1.0,0.46,0.54,0.45,0.55

0.0,1.0,0.0,0.04,0.96
1.0,0.39,0.61,0.39,0.61

0.0,0.99,0.01,0.04,0.96
1.0,0.44,0.56,0.42,0.58

0.0,1.0,0.0,0.09,0.91
1.0,0.43,0.57,0.36,0.64

0.0,1.0,0.0,0.0,1.0
1.0,0.65,0.35,0.15,0.85

0.0,0.99,0.01,0.05,0.95
1.0,0.46,0.54,0.46,0.54

0.0,0.98,0.02,0.03,0.97
1.0,0.38,0.62,0.43,0.57

