Seed,1573018843.9714332
Action,Start. P,C|C,D|C,C|D,D|D
0.0,0.12,0.12,0.88,0.92,0.08
1.0,0.88,0.83,0.17,0.12,0.88

0.0,0.13,0.13,0.87,0.89,0.11
1.0,0.87,0.84,0.16,0.14,0.86

0.0,0.12,0.12,0.88,0.87,0.13
1.0,0.88,0.83,0.17,0.08,0.92

0.0,0.11,0.12,0.88,0.9,0.1
1.0,0.89,0.9,0.1,0.07,0.93

0.0,0.15,0.14,0.86,0.89,0.11
1.0,0.85,0.8,0.2,0.12,0.88

0.0,0.11,0.12,0.88,0.88,0.12
1.0,0.89,0.93,0.07,0.18,0.82

0.0,0.13,0.13,0.87,0.83,0.17
1.0,0.87,0.86,0.14,0.19,0.81

0.0,0.13,0.12,0.88,0.86,0.14
1.0,0.87,0.83,0.17,0.16,0.84

0.0,0.11,0.11,0.89,0.89,0.11
1.0,0.89,0.87,0.13,0.1,0.9

0.0,0.15,0.16,0.84,0.82,0.18
1.0,0.85,0.89,0.11,0.21,0.79

